I,J,p,r,beta,instance_id,run,x,theta,obj,status,iterations,cuts,cuts_log,selected_sites,time_sec
20,30,2,2,0.1,3,0,"[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 1. 0. 0.]",0.53162088,0.53162088,1,14,26,"[('bulge', 0.43587991731764647), ('submod', 0.43587991731764647), ('bulge', 0.5316208758047547), ('submod', 0.5316208758047547), ('bulge', 0.4874960243129113), ('submod', 0.4874960243129113), ('bulge', 0.48639104582000336), ('submod', 0.48639104582000336), ('bulge', 0.5136089541799966), ('submod', 0.5136089541799966), ('bulge', 0.5125039756870888), ('submod', 0.5125039756870888), ('bulge', 0.4669474809179535), ('submod', 0.4669474809179535), ('bulge', 0.4836028278507439), ('submod', 0.4836028278507439), ('bulge', 0.500327645635353), ('submod', 0.500327645635353), ('bulge', 0.3875677160857127), ('submod', 0.3875677160857127), ('bulge', 0.45252413770224087), ('submod', 0.45252413770224087), ('bulge', 0.46021840506868816), ('submod', 0.46021840506868816), ('bulge', 0.47260508413228663), ('submod', 0.47260508413228663)]","[8, 27]",1.6574060916900635
20,30,2,2,0.1,3,1,"[1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",0.53899595,0.53899595,1,11,20,"[('bulge', 0.4723478437045678), ('submod', 0.4723478437045678), ('bulge', 0.48316629734537314), ('submod', 0.48316629734537314), ('bulge', 0.5381019061473261), ('submod', 0.5381019061473261), ('bulge', 0.5140196754949791), ('submod', 0.5140196754949791), ('bulge', 0.49801555045486756), ('submod', 0.49801555045486756), ('bulge', 0.49199087682503456), ('submod', 0.49199087682503456), ('bulge', 0.5357020747042758), ('submod', 0.5357020747042758), ('bulge', 0.5136673066037845), ('submod', 0.5136673066037845), ('bulge', 0.5389959478491859), ('submod', 0.5389959478491859), ('bulge', 0.5321706260328396), ('submod', 0.5321706260328396)]","[0, 8]",1.1645078659057617
20,30,2,2,0.1,3,2,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.
 1. 0. 0. 0. 0. 0.]",0.5255325,0.5255325,1,15,28,"[('bulge', 0.4025270845665613), ('submod', 0.4025270845665613), ('bulge', 0.5132174301372331), ('submod', 0.5132174301372331), ('bulge', 0.5255324972471171), ('submod', 0.5255324972471171), ('bulge', 0.5004996428495199), ('submod', 0.5004996428495199), ('bulge', 0.50836649046503), ('submod', 0.50836649046503), ('bulge', 0.516641218298414), ('submod', 0.516641218298414), ('bulge', 0.39576461513631966), ('submod', 0.39576461513631966), ('bulge', 0.4643267916949884), ('submod', 0.4643267916949884), ('bulge', 0.4469508521095152), ('submod', 0.4469508521095152), ('bulge', 0.462381941064977), ('submod', 0.462381941064977), ('bulge', 0.4462956167904791), ('submod', 0.4462956167904791), ('bulge', 0.5001069715779127), ('submod', 0.5001069715779127), ('bulge', 0.38469368385393604), ('submod', 0.38469368385393604), ('bulge', 0.5201364782721548), ('submod', 0.5201364782721548)]","[23, 24]",2.037525177001953
20,30,2,2,0.1,3,3,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.
 0. 1. 0. 0. 0. 0.]",0.53630655,0.53630655,1,18,34,"[('bulge', 0.44551990482936904), ('submod', 0.44551990482936904), ('bulge', 0.4912858066854241), ('submod', 0.4912858066854241), ('bulge', 0.5312620137498579), ('submod', 0.5312620137498579), ('bulge', 0.5363065541100354), ('submod', 0.5363065541100354), ('bulge', 0.4636934458899648), ('submod', 0.4636934458899648), ('bulge', 0.46873798625014207), ('submod', 0.46873798625014207), ('bulge', 0.39423348185908097), ('submod', 0.39423348185908097), ('bulge', 0.5087141933145759), ('submod', 0.5087141933145759), ('bulge', 0.5183107616124629), ('submod', 0.5183107616124629), ('bulge', 0.5023404325165772), ('submod', 0.5023404325165772), ('bulge', 0.4938996858966185), ('submod', 0.4938996858966185), ('bulge', 0.5086710673627935), ('submod', 0.5086710673627935), ('bulge', 0.5300227642503236), ('submod', 0.5300227642503236), ('bulge', 0.5098086642532603), ('submod', 0.5098086642532603), ('bulge', 0.4747253237222016), ('submod', 0.4747253237222016), ('bulge', 0.46092379918029897), ('submod', 0.46092379918029897), ('bulge', 0.49376019957073464), ('submod', 0.49376019957073464)]","[18, 25]",2.802931547164917
20,30,2,2,0.1,3,4,"[0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.
 0. 0. 0. 0. 0. 0.]",0.5332715,0.5332715,1,15,28,"[('bulge', 0.417842760341886), ('submod', 0.417842760341886), ('bulge', 0.5279480462199821), ('submod', 0.5279480462199821), ('bulge', 0.5150543973025499), ('submod', 0.5150543973025499), ('bulge', 0.5332714956225578), ('submod', 0.5332714956225578), ('bulge', 0.433852809661992), ('submod', 0.433852809661992), ('bulge', 0.515305101828747), ('submod', 0.515305101828747), ('bulge', 0.49641537108046685), ('submod', 0.49641537108046685), ('bulge', 0.5326584988616039), ('submod', 0.5326584988616039), ('bulge', 0.4830208443482555), ('submod', 0.4830208443482555), ('bulge', 0.5055457922844124), ('submod', 0.5055457922844124), ('bulge', 0.5056423553305487), ('submod', 0.5056423553305487), ('bulge', 0.47937473753533466), ('submod', 0.47937473753533466), ('bulge', 0.5330003227842613), ('submod', 0.5330003227842613), ('bulge', 0.5258296999261596), ('submod', 0.5258296999261596)]","[5, 23]",2.18082857131958
20,30,2,2,0.1,3,5,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",0.53566398,0.53566398,1,7,12,"[('bulge', 0.4848074267033501), ('submod', 0.4848074267033501), ('bulge', 0.5056765030374806), ('submod', 0.5056765030374806), ('bulge', 0.5206059715446779), ('submod', 0.5206059715446779), ('bulge', 0.48854547072790533), ('submod', 0.48854547072790533), ('bulge', 0.5356639848158173), ('submod', 0.5356639848158173), ('bulge', 0.4793940284553221), ('submod', 0.4793940284553221)]","[18, 19]",0.5334107875823975
20,30,2,2,0.1,3,6,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",0.54439652,0.54439652,1,13,24,"[('bulge', 0.39464883553983887), ('submod', 0.39464883553983887), ('bulge', 0.5443965186149329), ('submod', 0.5443965186149329), ('bulge', 0.5400678417764248), ('submod', 0.5400678417764248), ('bulge', 0.5102964913307692), ('submod', 0.5102964913307692), ('bulge', 0.5156439608239821), ('submod', 0.5156439608239821), ('bulge', 0.48809676112363776), ('submod', 0.48809676112363776), ('bulge', 0.47171662728872676), ('submod', 0.47171662728872676), ('bulge', 0.5091439263115184), ('submod', 0.5091439263115184), ('bulge', 0.5271674511895517), ('submod', 0.5271674511895517), ('bulge', 0.48322481458473027), ('submod', 0.48322481458473027), ('bulge', 0.45852559417496214), ('submod', 0.45852559417496214), ('bulge', 0.5341818440225246), ('submod', 0.5341818440225246)]","[12, 19]",1.5164449214935303
20,30,2,2,0.1,3,7,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",0.51047451,0.51047451,1,16,30,"[('bulge', 0.3986593666550493), ('submod', 0.3986593666550493), ('bulge', 0.5104745091262816), ('submod', 0.5104745091262816), ('bulge', 0.5089232483024654), ('submod', 0.5089232483024654), ('bulge', 0.5088385148956915), ('submod', 0.5088385148956915), ('bulge', 0.5019192208069473), ('submod', 0.5019192208069473), ('bulge', 0.49325815451583366), ('submod', 0.49325815451583366), ('bulge', 0.5052220620889013), ('submod', 0.5052220620889013), ('bulge', 0.48772828016542735), ('submod', 0.48772828016542735), ('bulge', 0.5009221648742783), ('submod', 0.5009221648742783), ('bulge', 0.5088090641171202), ('submod', 0.5088090641171202), ('bulge', 0.5046218690177688), ('submod', 0.5046218690177688), ('bulge', 0.508428477488635), ('submod', 0.508428477488635), ('bulge', 0.49116148510430857), ('submod', 0.49116148510430857), ('bulge', 0.4958131556160121), ('submod', 0.4958131556160121), ('bulge', 0.5041588432411438), ('submod', 0.5041588432411438)]","[11, 20]",1.9142472743988037
20,30,2,2,0.1,3,8,"[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 1. 0. 0. 0. 0. 0.]",0.56758326,0.56758326,1,11,20,"[('bulge', 0.41188525178042323), ('submod', 0.41188525178042323), ('bulge', 0.5192774546577261), ('submod', 0.5192774546577261), ('bulge', 0.5132152703081806), ('submod', 0.5132152703081806), ('bulge', 0.5598382289677581), ('submod', 0.5598382289677581), ('bulge', 0.488511222281316), ('submod', 0.488511222281316), ('bulge', 0.5467982875018716), ('submod', 0.5467982875018716), ('bulge', 0.4807225453422739), ('submod', 0.4807225453422739), ('bulge', 0.5531200206447782), ('submod', 0.5531200206447782), ('bulge', 0.5640617105967524), ('submod', 0.5640617105967524), ('bulge', 0.56758325815051), ('submod', 0.56758325815051)]","[1, 24]",1.140336036682129
20,30,2,2,0.1,3,9,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0.
 0. 0. 0. 0. 0. 0.]",0.59405682,0.59405682,1,7,12,"[('bulge', 0.5261498655063599), ('submod', 0.5261498655063599), ('bulge', 0.594056821271482), ('submod', 0.594056821271482), ('bulge', 0.4895606052160213), ('submod', 0.4895606052160213), ('bulge', 0.47060405855088394), ('submod', 0.47060405855088394), ('bulge', 0.5749616257912071), ('submod', 0.5749616257912071), ('bulge', 0.5870623707403023), ('submod', 0.5870623707403023)]","[19, 21]",0.6253173351287842
